title,authors,categories,published_year
Cracks in My Foundation,Marian Keyes,Fiction,2005.0
A Fistful of Charms,Kim Harrison,Fiction,2006.0
For a Few Demons More,Kim Harrison,Fiction,2007.0
Mysteries of Pittsburgh,Michael Chabon,Fiction,2005.0
Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,2005.0
Flight of the Nighthawks,Raymond E. Feist,Fiction,2006.0
Into a Dark Realm,Raymond E. Feist,Fiction,2007.0
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,2005.0
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,2006.0
Last of the Wilds,Trudi Canavan,Fiction,2006.0
Voice of the Gods,Trudi Canavan,Fiction,2007.0
Missing Mom,Joyce Carol Oates,Fiction,2006.0
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,2004.0
Touch Not the Cat,Mary Stewart,Fiction,2005.0
King of the Vagabonds,Neal Stephenson,Fiction,2006.0
Odalisque,Neal Stephenson,Fiction,2006.0
Black Boy,Richard Wright,Biography & Autobiography,2005.0
The Sheltering Sky,Paul Bowles,Fiction,2005.0
Rat Bastards,John Shea,Biography & Autobiography,2006.0
The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,2005.0
The Thorn Birds,Colleen McCullough,Fiction,2005.0
Krakatoa,Simon Winchester,History,2005.0
The Professor and the Madman,Simon Winchester,Biography & Autobiography,2005.0
Hit Parade,Lawrence Block,Fiction,2006.0
The Curtain,Milan Kundera,Literary Collections,2006.0
"A Hard Day's Write, 3e",Steve Turner,Music,2005.0
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,2005.0
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,2005.0
Sex with the Queen,Eleanor Herman,History,2006.0
Brave New World,Aldous Huxley,Fiction,2006.0
Queen of Babble,Meg Cabot,Fiction,2006.0
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,2007.0
Good Omens,Neil Gaiman;Terry Pratchett,Fiction,2006.0
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,2006.0
Continental Drift,Russell Banks,Fiction,2007.0
The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,2006.0
Next,Michael Crichton,Fiction,2006.0
How to Be Popular,Meg Cabot,Juvenile Fiction,2006.0
The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,2006.0
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,2006.0
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,2006.0
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,2006.0
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,2007.0
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,2006.0
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,2007.0
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,2007.0
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,2007.0
The Alchemist - Gift Edition,Paulo Coelho,Fiction,2006.0
Pretty Things,Liz Goldwyn,Biography & Autobiography,2006.0
Eaters of the Dead,Michael Crichton,Fiction,2006.0
Genome,Matt Ridley,Science,2006.0
The Zero,Jess Walter,Fiction,2006.0
Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,2007.0
DREAM & THE UNDERWOR,James Hillman,Psychology,1979.0
The Crying of Lot 49,Thomas Pynchon,Fiction,1966.0
An American Childhood,Annie Dillard,Biography & Autobiography,1988.0
Teaching a Stone to Talk,Annie Dillard,Literary Criticism,1988.0
Holy the Firm,Annie Dillard,Literary Criticism,1988.0
